t,Ek,Ep,Ec
0,0,7.53765e-09,7.53765e-09
0.001,7.84882e-15,7.53764e-09,7.53765e-09
0.002,3.13952e-14,7.53762e-09,7.53765e-09
0.003,7.06392e-14,7.53758e-09,7.53765e-09
0.004,1.25581e-13,7.53753e-09,7.53766e-09
0.005,1.96219e-13,7.53746e-09,7.53766e-09
0.006,2.82555e-13,7.53738e-09,7.53766e-09
0.007,3.84587e-13,7.53728e-09,7.53767e-09
0.008,5.02315e-13,7.53717e-09,7.53767e-09
0.009,6.3574e-13,7.53704e-09,7.53768e-09
0.01,7.84859e-13,7.5369e-09,7.53768e-09
0.011,9.49673e-13,7.53674e-09,7.53769e-09
0.012,1.13018e-12,7.53657e-09,7.5377e-09
0.013,1.32638e-12,7.53638e-09,7.53771e-09
0.014,1.53828e-12,7.53618e-09,7.53771e-09
0.015,1.76586e-12,7.53596e-09,7.53772e-09
0.016,2.00914e-12,7.53572e-09,7.53773e-09
0.017,2.26811e-12,7.53547e-09,7.53774e-09
0.018,2.54276e-12,7.53521e-09,7.53775e-09
0.019,2.83311e-12,7.53493e-09,7.53777e-09
0.02,3.13914e-12,7.53464e-09,7.53778e-09
0.021,3.46085e-12,7.53433e-09,7.53779e-09
0.022,3.79826e-12,7.53401e-09,7.5378e-09
0.023,4.15134e-12,7.53367e-09,7.53782e-09
0.024,4.5201e-12,7.53331e-09,7.53783e-09
0.025,4.90455e-12,7.53294e-09,7.53785e-09
0.026,5.30467e-12,7.53256e-09,7.53786e-09
0.027,5.72047e-12,7.53216e-09,7.53788e-09
0.028,6.15195e-12,7.53175e-09,7.5379e-09
0.029,6.5991e-12,7.53132e-09,7.53792e-09
0.03,7.06192e-12,7.53087e-09,7.53793e-09
0.031,7.54041e-12,7.53041e-09,7.53795e-09
0.032,8.03457e-12,7.52994e-09,7.53797e-09
0.033,8.5444e-12,7.52945e-09,7.53799e-09
0.034,9.06989e-12,7.52894e-09,7.53801e-09
0.035,9.61104e-12,7.52843e-09,7.53804e-09
0.036,1.01679e-11,7.52789e-09,7.53806e-09
0.037,1.07403e-11,7.52734e-09,7.53808e-09
0.038,1.13285e-11,7.52678e-09,7.5381e-09
0.039,1.19322e-11,7.5262e-09,7.53813e-09
0.04,1.25517e-11,7.5256e-09,7.53815e-09
0.041,1.31867e-11,7.52499e-09,7.53818e-09
0.042,1.38375e-11,7.52437e-09,7.53821e-09
0.043,1.45038e-11,7.52373e-09,7.53823e-09
0.044,1.51858e-11,7.52307e-09,7.53826e-09
0.045,1.58835e-11,7.5224e-09,7.53829e-09
0.046,1.65968e-11,7.52172e-09,7.53832e-09
0.047,1.73257e-11,7.52102e-09,7.53834e-09
0.048,1.80702e-11,7.5203e-09,7.53837e-09
0.049,1.88304e-11,7.51957e-09,7.5384e-09
0.05,1.96062e-11,7.51883e-09,7.53844e-09
0.051,2.03976e-11,7.51807e-09,7.53847e-09
0.052,2.12046e-11,7.5173e-09,7.5385e-09
0.053,2.20273e-11,7.51651e-09,7.53853e-09
0.054,2.28655e-11,7.5157e-09,7.53857e-09
0.055,2.37194e-11,7.51488e-09,7.5386e-09
0.056,2.45889e-11,7.51405e-09,7.53864e-09
0.057,2.54739e-11,7.5132e-09,7.53867e-09
0.058,2.63746e-11,7.51233e-09,7.53871e-09
0.059,2.72908e-11,7.51145e-09,7.53874e-09
0.06,2.82227e-11,7.51056e-09,7.53878e-09
0.061,2.91701e-11,7.50965e-09,7.53882e-09
0.062,3.01331e-11,7.50872e-09,7.53886e-09
0.063,3.11117e-11,7.50778e-09,7.5389e-09
0.064,3.21059e-11,7.50683e-09,7.53894e-09
0.065,3.31157e-11,7.50586e-09,7.53898e-09
0.066,3.4141e-11,7.50488e-09,7.53902e-09
0.067,3.51818e-11,7.50388e-09,7.53906e-09
0.068,3.62383e-11,7.50286e-09,7.5391e-09
0.069,3.73102e-11,7.50183e-09,7.53914e-09
0.07,3.83978e-11,7.50079e-09,7.53919e-09
0.071,3.95009e-11,7.49973e-09,7.53923e-09
0.072,4.06195e-11,7.49866e-09,7.53928e-09
0.073,4.17536e-11,7.49757e-09,7.53932e-09
0.074,4.29033e-11,7.49646e-09,7.53937e-09
0.075,4.40685e-11,7.49535e-09,7.53941e-09
0.076,4.52493e-11,7.49421e-09,7.53946e-09
0.077,4.64455e-11,7.49306e-09,7.53951e-09
0.078,4.76573e-11,7.4919e-09,7.53956e-09
0.079,4.88846e-11,7.49072e-09,7.53961e-09
0.08,5.01274e-11,7.48953e-09,7.53966e-09
0.081,5.13857e-11,7.48832e-09,7.53971e-09
0.082,5.26594e-11,7.4871e-09,7.53976e-09
0.083,5.39487e-11,7.48586e-09,7.53981e-09
0.084,5.52535e-11,7.48461e-09,7.53986e-09
0.085,5.65737e-11,7.48334e-09,7.53991e-09
